iter	MAPE	RMSE	R2	MAE
0	1.317843595	2230681.521	0.1581601329	1219063.995
1	1.228760051	2048473.944	0.2900704756	1129562.223
2	1.137399098	1883831.841	0.3996028584	1041206.818
3	1.064050213	1731024.244	0.4930552261	967709.8186
4	0.9964567936	1597314.99	0.5683462837	902002.7658
5	0.9347262626	1479699.659	0.6295739701	842951.9179
6	0.8761375925	1374096.548	0.6805603315	786372.8064
7	0.815275295	1278107.343	0.7236312019	734248.5202
8	0.7669105405	1192746.787	0.7593139827	690011.8194
9	0.7230801656	1118660.217	0.788285435	651772.8984
10	0.6786779086	1056064.841	0.8113158075	615864.8334
11	0.638623011	992930.7398	0.8332014535	581522.8296
12	0.5967286329	935340.6535	0.8519890073	546206.0212
13	0.5584612834	886648.9739	0.8669981196	517183.9076
14	0.5290848612	843752.2333	0.8795562634	495439.299
15	0.4946427839	805763.2556	0.8901577887	467896.1209
16	0.4698500244	773197.4457	0.8988571538	449207.8422
17	0.4515428184	740960.8637	0.9071151489	432953.0308
18	0.4329798387	713447.0102	0.9138852006	414678.4994
19	0.411555725	689129.2125	0.9196555892	398180.2111
20	0.3971836443	669627.0441	0.9241386932	384604.842
21	0.3827946631	646927.4291	0.9291947468	373002.844
22	0.3672448952	628946.6839	0.9330759811	362121.0326
23	0.355414735	610580.4736	0.9369274816	353487.1453
24	0.3437093942	594968.7382	0.9401116092	342582.3592
25	0.3259372488	576018.7179	0.9438657994	329198.9146
26	0.3127841739	560549.5941	0.9468403106	320265.1585
27	0.3029175787	545986.7936	0.9495665561	310980.4263
28	0.2943548819	534040.9674	0.9517493134	304551.4455
29	0.2873380465	523317.8788	0.9536675256	296722.5485
30	0.2766671328	513952.3809	0.9553110538	289698.9808
31	0.2711282861	506140.3479	0.9566592654	285077.1905
32	0.2597112455	497649.7405	0.9581011683	278096.8329
33	0.2534758862	488881.8422	0.9595645609	271403.8798
34	0.2456731525	481721.9717	0.9607402744	265293.6472
35	0.2403885787	475557.7716	0.9617385948	261062.3242
36	0.2333099962	469877.6072	0.9626471412	255465.9058
37	0.2272219988	464578.9895	0.9634848172	250928.7775
38	0.2245535982	458754.7764	0.9643946264	247837.8468
39	0.2215633946	453733.3553	0.9651698164	245389.1935
40	0.2190953638	449038.4586	0.9658868812	243104.5032
41	0.2127712031	444412.7683	0.9665860818	239572.5864
42	0.2117423533	440174.374	0.9672203841	237585.4194
43	0.2104330068	436787.8531	0.9677228297	236116.6417
44	0.2066798479	433340.2996	0.9682303443	233883.7891
45	0.2022171776	428945.3177	0.9688714986	230994.6755
46	0.1992443111	425759.1764	0.9693322168	228129.8428
47	0.1955262867	423077.0008	0.9697173984	225916.7181
48	0.1919489691	421004.6935	0.9700133311	223737.9121
49	0.188113273	417049.8981	0.9705740571	221148.9763
50	0.1877034387	414676.9881	0.970907957	219806.5891
51	0.1861620219	412009.6911	0.9712810067	218792.8604
52	0.1835407688	409828.3878	0.9715842957	216385.4214
53	0.1807673452	407284.4028	0.9719359783	214021.4685
54	0.179855534	405816.0269	0.9721379711	212564.6477
55	0.179397721	402816.933	0.9725482657	211145.8749
56	0.1782597144	400686.2347	0.9728379093	209979.705
57	0.1768883032	399050.4757	0.9730592293	208840.6858
58	0.1744116056	397690.9506	0.9732424856	207256.1919
59	0.1729471885	395888.4916	0.9734844827	205587.0753
60	0.170600681	393427.5137	0.9738131171	204196.1851
61	0.1697743412	391536.7238	0.9740642176	203679.4257
62	0.1691677829	389371.3378	0.9743502989	201948.46
63	0.1662334923	387196.3216	0.9746360554	200600.3234
64	0.1650317079	385145.9893	0.9749039651	199448.0065
65	0.1645902658	381979.1801	0.9753149658	198085.591
66	0.1632746071	379854.3233	0.9755888355	196723.7671
67	0.1613164707	377829.0677	0.9758484458	195504.5336
68	0.1603379096	376489.2103	0.9760194346	194608.3645
69	0.1597043314	374520.2134	0.9762696101	193801.0732
70	0.1575217038	372707.5919	0.9764987573	192128.4777
71	0.1567563493	371333.12	0.9766717735	191523.9587
72	0.1561762813	369292.6682	0.9769274434	191175.3922
73	0.1553103895	366629.9091	0.97725897	189673.4078
74	0.1540722979	363729.834	0.9776173142	187536.2907
75	0.153216467	361689.3662	0.9778677366	186510.2832
76	0.1526613185	360221.1417	0.9780470572	185319.7348
77	0.1516585088	358949.3578	0.9782017961	184112.7582
78	0.1509342759	357473.0235	0.9783807364	183026.147
79	0.1495137111	355990.1762	0.9785597238	181501.7118
80	0.1491468847	353686.4737	0.9788363168	180499.4262
81	0.1487099229	352149.8207	0.979019816	179684.0574
82	0.1478467463	349614.7016	0.9793208005	177986.0559
83	0.1474919171	348648.4658	0.9794349454	177651.8979
84	0.1471134225	346245.0183	0.9797175032	177099.3156
85	0.1461864356	344431.309	0.9799294352	175509.7361
86	0.1448416131	343207.6363	0.9800717926	174553.229
87	0.1442500671	342000.0064	0.9802117869	173641.8152
88	0.1441544024	340463.1873	0.9803892289	173305.1181
