iter	Passed	Remaining
0	372	743823
1	599	599203
2	776	516859
3	953	475862
4	1142	455706
5	1304	433392
6	1472	419166
7	1669	415655
8	1853	409975
9	2021	402360
10	2190	396157
11	2394	396637
12	2607	398496
13	2776	393837
14	2972	393316
15	3112	385952
16	3310	386122
17	3497	385076
18	3689	384640
19	3885	384692
20	4041	380840
21	4282	385001
22	4490	385972
23	4721	388754
24	4955	391482
25	5179	393220
26	5356	391390
27	5527	389327
28	5667	385213
29	5869	385437
30	6110	388118
31	6291	386916
32	6471	385712
33	6626	383159
34	6807	382189
35	6975	380552
36	7103	376872
37	7358	379929
38	7517	377985
39	7779	381217
40	7962	380428
41	8227	383542
42	8463	385197
43	8619	383157
44	8926	387814
45	9228	392003
46	9460	393121
47	9627	391534
48	9782	389517
49	9960	388460
50	10111	386413
51	10377	388747
52	10559	387924
53	10725	386527
54	10918	386112
55	11197	388725
56	11361	387289
57	11511	385443
58	11702	384985
59	11881	384153
60	12087	384211
61	12278	383799
62	12487	383949
63	12763	386082
64	12934	385055
65	13205	386949
66	13404	386740
67	13696	389139
68	13979	391231
69	14158	390356
70	14355	390035
71	14592	390753
72	14773	389968
73	14988	390103
74	15161	389142
75	15397	389793
76	15574	388960
77	15750	388112
78	16010	389311
79	16237	389704
80	16454	389822
81	16634	389083
82	16825	388604
83	17004	387868
84	17222	388017
85	17477	388967
86	17738	390047
87	18010	391308
88	18268	392267
89	18558	393856
90	18833	395088
91	19102	396169
92	19354	396876
93	19549	396396
94	19769	396434
95	19970	396081
96	20218	396657
97	20437	396650
98	20677	397046
99	20878	396693
100	21104	396812
101	21278	395946
102	21495	395889
103	21753	396588
104	22013	397286
105	22182	396351
106	22359	395566
107	22613	396151
108	22782	395248
109	22962	394540
110	23142	393847
111	23419	394779
112	23613	394317
113	23810	393919
114	24055	394292
115	24266	394120
116	24456	393600
117	24638	392967
118	24806	392114
119	24973	391256
120	25141	390423
121	25320	389770
122	25481	388856
123	25647	388026
124	25841	387623
125	26043	387343
126	26311	388041
127	26492	387450
128	26747	387942
129	26959	387803
130	27098	386617
131	27374	387392
132	27613	387620
133	27870	388112
134	28044	387433
135	28237	387024
136	28455	386949
137	28662	386737
138	28911	387080
139	29124	386944
140	29354	387026
141	29604	387355
142	29849	387632
143	30067	387542
144	30279	387367
145	30423	386340
146	30618	385961
147	30857	386137
148	31113	386523
149	31281	385801
150	31464	385288
151	31667	385009
152	31823	384175
153	32007	383669
154	32193	383207
155	32383	382793
156	32626	382994
157	32791	382294
158	33010	382217
159	33252	382401
160	33481	382434
161	33702	382381
162	33939	382496
163	34131	382102
164	34311	381589
165	34494	381105
166	34660	380433
167	34881	380374
168	35050	379748
169	35285	379834
170	35470	379390
171	35677	379176
172	35854	378651
173	36029	378099
174	36192	377433
175	36408	377327
176	36639	377370
177	36868	377387
178	37088	377312
179	37326	377407
180	37615	378023
181	37821	377804
182	37989	377194
183	38174	376765
184	38450	377225
185	38688	377313
186	38884	376988
187	39078	376652
188	39300	376574
189	39517	376456
190	39767	376647
191	39930	376010
192	40111	375548
193	40268	374870
194	40458	374500
195	40642	374075
196	40821	373605
197	40988	373032
198	41172	372620
199	41356	372212
200	41531	371715
201	41721	371365
202	41960	371445
203	42163	371203
204	42385	371129
205	42608	371068
206	42880	371421
207	43082	371175
208	43285	370928
209	43463	370473
210	43664	370215
211	43931	370513
212	44178	370645
213	44359	370214
214	44556	369924
215	44831	370271
216	45016	369885
217	45193	369423
218	45359	368880
219	45533	368406
220	45754	368313
221	45965	368141
222	46185	368031
223	46395	367848
224	46592	367563
225	46807	367414
226	47008	367161
227	47184	366713
228	47347	366167
229	47567	366059
230	47805	366092
231	48019	365944
232	48192	365478
233	48373	365076
234	48535	364533
235	48721	364171
236	48902	363779
237	49089	363424
238	49333	363498
239	49590	363660
240	49801	363489
241	49955	362900
242	50149	362606
243	50333	362235
244	50586	362363
245	50745	361819
246	50984	361842
247	51218	361831
248	51414	361556
249	51577	361042
250	51758	360659
251	51914	360102
252	52081	359630
253	52267	359285
254	52457	358971
255	52638	358598
256	52822	358247
257	53002	357872
258	53185	357512
259	53382	357249
260	53559	356858
261	53729	356421
262	53917	356102
263	54134	355976
264	54412	356247
265	54614	356020
266	54793	355646
267	54994	355409
268	55124	354724
269	55286	354243
270	55515	354190
271	55716	353964
272	55880	353503
273	56127	353565
274	56375	353628
275	56639	353789
276	56856	353659
277	57034	353284
278	57241	353092
279	57424	352750
280	57613	352446
281	57813	352211
282	57975	351747
283	58126	351212
284	58301	350829
285	58497	350577
286	58748	350647
287	58985	350635
288	59211	350557
289	59463	350631
290	59692	350565
291	59942	350622
292	60159	350487
293	60336	350117
294	60510	349733
295	60670	349263
296	60862	348985
297	61047	348668
298	61277	348603
299	61462	348286
300	61693	348227
301	61983	348500
302	62227	348516
303	62414	348209
304	62594	347860
305	62856	347967
306	63134	348164
307	63416	348376
308	63626	348195
309	63818	347913
310	63992	347532
311	64165	347154
312	64433	347280
313	64615	346948
314	64787	346559
315	65006	346427
316	65240	346372
317	65485	346373
318	65804	346764
319	65967	346328
320	66131	345902
321	66336	345692
322	66573	345646
323	66785	345471
324	66951	345055
325	67126	344691
326	67364	344651
327	67532	344248
328	67792	344320
329	67976	344001
330	68142	343593
331	68306	343178
332	68511	342967
333	68677	342563
334	68927	342579
335	69101	342218
336	69278	341867
337	69526	341871
338	69763	341822
339	69972	341629
340	70152	341296
341	70331	340965
342	70518	340666
343	70728	340482
344	70960	340403
345	71150	340121
346	71339	339841
347	71542	339620
348	71787	339603
349	71998	339421
350	72199	339192
351	72400	338964
