en;ru
12-inch-wheels;Диски 12
12v-socket;Розетка 12V
13-inch-wheels;Диски 13
14-inch-wheels;Диски 14
14U;
15-inch-wheels;Диски 15
16-inch-wheels;Диски 16
16U;
17-inch-wheels;Диски 17
17U;
18-inch-wheels;Диски 18
19-inch-wheels;Диски 19
1N1;
20-inch-wheels;Диски 20
21-inch-wheels;Диски 21
220v-socket;
22-inch-wheels;Диски 22
23-inch-wheels;Диски 23
24-inch-wheels;
25-inch-wheels;
27-inch-wheels;
2C5;
360-camera;Камера 360°
3B3;
3L5;
3NZ;
3Q6;
4A3;
4D3;
4I2;
4R2;
4R3;
4UC;
4UE;
51U;
6NQ;
6R1;
6XD;
6XE;
7AA;
7B2;
8T6;
9AB;
9P5;
9R1;
9S3;
9S6;
9T1;
abs;Антиблокировочная система (ABS)
activ-suspension;Активная подвеска
adaptive-light;
adj-pedals;
advanced-frontlighting-system;Автоматический корректор фар
airbag-2;
airbag-4;
airbag-6;
airbag-curtain;Подушки безопасности оконные (шторки)
airbag-driver;Подушка безопасности водителя
airbag-passenger;Подушка безопасности пассажира
airbag-rear-side;Подушки безопасности боковые задние
airbag-side;Подушки безопасности боковые
airbrush;
air-suspension;
alarm;Сигнализация
alcantara;Алькантара (Материал салона)
alloy-wheel-disks;
android-auto;Android Auto
apple-carplay;CarPlay
armored;Бронированный кузов
ashtray-and-cigarette-lighter;
asr;Антипробуксовочная система (ASR)
audiopreparation;Аудиоподготовка
audiosystem;Аудиосистема
audiosystem-cd;
audiosystem-tv;
auto-cruise;Адаптивный круиз-контроль
automatic-lighting-control;
auto-mirrors;
auto-park;
aux;
B16;
B63;
bas;Система помощи при торможении (BAS, EBD)
black-roof;
blind-spot;
bluetooth;
body-kit;
body-mouldings;
climate-control;Климат-контроль многозонный
climate-control-1;Климат-контроль 1-зонный
climate-control-2;Климат-контроль 2-зонный
climate-control-3;Климат-контроль многозонный
collision-prevention-assist;
combo-interior;
computer;
condition;Кондиционер
cooling-box;
cruise-control;Круиз-контроль
dark-interior;
decorative-interior-lighting;
dha;
door-sill-panel;
drive-mode-sys;
driver-seat-electric;Электрорегулировка сиденья водителя
driver-seat-manual;
driver-seat-memory;
driver-seat-support;
driver-seat-updown;
drl;
drowsy-driver-alert-system;
DZ9;
E0P;
e-adjustment-wheel;
easy-trunk-opening;
eco-leather;
electro-mirrors;Электропривод зеркал
electronic-gage-panel;
electro-rear-seat;Электрорегулировка задних сидений
electro-seat;Электрорегулировка передних сидений
electro-trunk;
electro-window-all;
electro-window-back;Электростеклоподъёмники задние
electro-window-front;Электростеклоподъёмники передние
engine-proof;
entertainment-system-for-rear-seat-passengers;
esp;Система стабилизации (ESP)
fabric-seats;
feedback-alarm;
folding-front-passenger-seat;
folding-tables-rear;
front-camera;
front-centre-armrest;
front-seats-heat;
front-seats-heat-vent;
front-seat-support;
gbo;
glonass;
H06;
halogen;
hatch;
hcc;
heated-wash-system;
high-beam-assist;
immo;
immobiliser-not-standard;
isofix;Крепление детского кресла (задний ряд) ISOFIX
isofix-front;Крепление детского кресла (передний ряд) ISOFIX
KA2;
keyless-entry;
knee-airbag;
L5C;
laminated-safety-glass;
lane-keeping-assist;
laser-lights;Лазерные фары
leather;Кожа (Материал салона)
leather-gear-stick;Отделка кожей рычага КПП
led-lights;
light-cleaner;
light-interior;
light-sensor;
lock;
massage-seats;
mirrors-heat;
multi-wheel;
multizone-climate-control;
music-super;
navigation;
night-vision;
P17;
P29;
P31;
P44;
paint-metallic;Металлик
panorama-roof;Панорамная крыша / лобовое стекло
park-assist-f;Парктроник передний
park-assist-r;Парктроник задний
parktronik;Парктроник задний
passenger-seat-electric;
passenger-seat-manual;
passenger-seat-memory;
passenger-seat-updown;
PB0;
PL2;
PN0;
PNQ;
power-child-locks-rear-doors;
power-latching-doors;
programmed-block-heater;
projection-display;
ptf;
PW1;
PX2;
R01;
R66;
RAB;
rain-sensor;
rear-camera;
rear-seat-heat-vent;
rear-seats-heat;
reduce-spare-wheel;
remote-engine-start;
roller-blind-for-rear-window;
roller-blinds-for-rear-side-windows;
roof-rails;
RVR;
S7N;
seat-memory;
seats-2;
seats-4;
seats-5;
seats-6;
seats-7;
seats-8;
seats-9;
seats-heat;
seat-transformation;
servo;
spare-wheel;
sport-pedals;
sport-seats;
sport-suspension;
start-button;
start-stop-function;
steel-wheels;
steering-wheel-gear-shift-paddles;
third-rear-headrest;
third-row-seats;
tinted-glass;
traffic-sign-recognition;
turnbuckle;
tyre-pressure;
U09;
U22;
UI4;
usb;
velvet-seats;
voice-recognition;
volume-sensor;
vsm;Система стабилизации рулевого управления (VSM)
wheel-configuration1;
wheel-configuration2;
wheel-configuration3;
wheel-heat;
wheel-leather;
wheel-memory;
wheel-power;
windcleaner-heat;
windscreen-heat;
wireless-charger;
WVA;
xenon;
ya-auto;
